@relation 'hotel_reviews'
@attribute text string
@attribute class {neg, pos}
@data
'Um Hotel que indico para qualquer pessoa, pois tem uma estrutura fantástica e super confortável. Os quartos são excelentes, o atendimento primordial e a estrutura perfeita com uma vista para o mar que é inesquecível. Os restaurantes são muito bons e tem comidas super saborosas ', pos

'é um lugar lindo e indescritível, os quartos são maravilhosos, a comida perfeita, o atendimento é muito bom e as opções de laser são excelentes ',pos 

'otimo custo beneficio ', pos

'Realmente um hotel divino pensado em todos os detalhes, se alguem quer ir a Cancun e desfrutar de um hotel belissimo super confortavel ',pos 

'Um hotel de alto padrão, excelente onde escolhi para passar minha lua de mel ',pos

'Quartos perfeitos, limpeza impecável, café da manha maravilhoso, piscinas e spa fantásticos ',pos

'Foi uma experiência incrível, O hotel conta com uma arquitetura maravilhosa, limpeza impecável ',pos

'Excelente Hotel com um serviço de primeira linha, destaque para o café da manhã ', pos

'Hotel grande e bonito. Quartos no tamanho suficiente, novos, com frigobar, grande varanda com vista para o mar ',pos

'Sem sobre de dúvidas o hotel é muito espaçoso e confortável. O café da manhã é farto e cheio de opções ',pos

'Os quartos são de um bom tamanho e as camas confortáveis ',pos 

'Hotel muito bonito, impressiona a arquitetura e o hall de entrada ',pos

'Ótimos preços, quartos confortáveis e muito bem conservados e limpos ',pos 

'O Hotel é extremamente belo, Os quartos são muito confortáveis e a cama maravilhosa ',pos

'O hotel é mto bom, funcionários dedicados, comida Maravilhosa ',pos

'Hotel antigo, porém muito bem conservado, Quartos enormes, muito confortáveis e limpos, Atendimento impecável em todos setores do hotel ', pos

'Ótimo hotel ',pos

'simplesmente maravilhoso, desde o atendimento, serviço de quarto, limpeza, a decoração dos quartos é de muito bom gosto ',pos 

'Excelente Serviço de quarto, muito atenciosos, atendimento impecável, realmente uma experiencia incrivel, me sentia em um filme ',pos 

'Nunca estive num lugar tào perfeito,confesso que até chorei quando vim embora ',pos

'Simplesmente maravilhoso, Hotel lindo, funcionários simpáticos e prestativos, Café da manhã impecável ',pos

' Ficamos muito satisfeitos com a escolha ', pos 

'o café da manha é o melhor que já vimos, Atendimento, limpeza e serviços de quarto impecáveis ',pos

'Otimo lugar em Cancun, tudo funcionando perfeitamente. Otimos restaurantes no Hotel. ',pos 

'Café da manhã é espetacular, quarto grande e limpo, atendimento ótimo, piscina boa ',pos

'Tudo estava excelente: o serviço, a limpeza e a qualidade da comida. A praia era maravilhosa. O pessoal da recepção era muito competente ',pos

'Hotel de primeira linha, super-confortável, com uma linda decoração. Piscina ótima, Café da manhã insuperável ', pos 

'Excelente hotel, Concierges atenciosos, Excelente infra-estrutura, Quartos confortáveis e espaçosos, Pena que o café-da-manhã não é incluído, Recomendo ',pos

'Os quartos são excelentes, Espaçosos, novos, a cama é super confortável, As sacadas têm vista para o mar ',pos 

'A localização é perfeita ',pos 

'Tivemos uma fantástica estadia nesse hotel! Novo, arquitetura e decoração moderna ',pos

'Otima localizacao, quartos amplos e confortaveis, Varios restaurantes, otima comida ',pos

'Excelente estrutura, Quartos novos, espaçosos e com decoração de bom gosto ',pos

'estrutura toda nova, vista maravilhosa para o oceano azul turquesa em todos os apartamentos, ótimos serviços, funcionários bem treinados ',pos

'Hotel excelente, Serviço excelente, Quartos muito confortáveis e espaçosos ',pos

'Comida com muitas opções ',pos 

'Os quartos são limpos, bem decorados, a cama muito confortável ',pos 

'Hotel excelente. É um dos mais novos de Cancun, com uma decoração de cores fortes e quartos confortabilíssimos ',pos 

'Excelente hotel, melhor que já fiquei na vida, A estrutura de piscina, restaurantes e atividades é fantástica, muito diversificada ',pos 

'Ótimo hotel, o mais novo ',pos 

'Instalações em perfeitas condições, funcionários educados ',pos 

'Este hotel superou todas as minhas expectativas: comida maravilhosa ',pos 

'Perfeito, fomos passar a lua de mel e adoramos. Ótimo atendimento, restaurantes e as piscinas são maravilhosas ',pos 

'Tudo neste hotel é pensado para o seu bem estar, O serviço é muito bom, todos são muito simpáticos e agradáveis ',pos

'Localizado em um ótimo ponto na zona Hoteleira ',pos

'Hotel muito bom, com uma estrutura de serviço valiosa ',pos

'Hotel maravilhoso. Atendimento impecável, Os quartos são enormes e possum banheira de hidromassagem ',pos

'hotel maravilhoso, atendimento impecável por todos os funcionários ',pos

'ótimo atendimento dos garcons e recepcionistas ',pos

'Hotel bem localizado com excelente atendimento. Suite ampla com vista para a imensa piscina ',pos

'Hotel excelente, ótimo atendimento, quarto lindíssimo, piscinas, bares, restaurantes, tudo perfeito ',pos

'Um resort que nao deixa nada a desejar. Maravilhoso. Comida excelente. Todo tipo de bebida. Otimo atendimento ',pos

'Simplesmente inesquecível, Tudo funciona perfeitamente, recomendo, Passei minha lua de mel ',pos

' Maravilhoso, Comida excelente, Otimo atendimento ',pos

' atendendimento pé otimo a gentileza e cordialismo dos funcionarios é muito boa ',pos

'Experiência simplesmente incrível neste hotel, serviço superou nossas expectativas, a localização é boa ',pos

'O hotel é excelente, todo moderno, O quarto é grande, com banheira, com ótima vista ',pos

'Quarto comfortavel. Voltaria la com certeza e recomendo ',pos

'Linda toda estrutura do hotel ',pos

'O hotel é simplesmente perfeito ',pos

'Superou todas as minhas expectativas ',pos

'Os quartos são limpos, possuem um excelente Ocean View, serviço de quarto, O hotel no geral é bem grande e confortável, há diversos tipos de piscinas para todas as idades, com entretenimento dos monitores ',pos

' Os atendentes são muito corteses e estão sempre dispostos a ajudar ',pos

'Superou as expectativas, principalmente quanto a comida e estrutura. Excelente piscina, ótimos restaurantes e drinks ',pos

'Excelente, serviço impecável comida maravilhosa ',pos

'O hotel é excelente em diversos aspectos, desde a localização até o serviço geral. A comida é muito boa e variada. As bebidas são de boa qualidade e de marcas conhecidas. O serviço de quarto e a limpeza também são quase impecáveis ',pos 

'foi algo deplorável ', neg

'As habitações são velhas e sem nenhum cuidado ', neg

'Nunca imaginei que a rede Othon mantivesse uma unidade em tão mau estado e com atendimento tão precário ', neg

' hotel é muito antigo e com equipamentos muitos velhos, mesmo na taxa superior ', neg

'difícil é falar de um hotel ruim. Preço elevadíssimo considerando o péssimo nível de serviço e qualidade das instalações ', neg

'Quero deixar registrado aqui minha profunda insatisfação com os serviços prestados ', neg

'Esse hotel deixa muito a desejar nos quesitos limpeza e estrutura ', neg

'O hotel é extremamente velho, mal cuidado, os recepcionistas não têm o mínimo de atenção nem educação ',neg

'O hotel é extremamente velho, mal cuidado, os recepcionistas não têm o mínimo de atenção nem educação ',neg

'Sinceramente o pior hotel em que já estive ', neg


'me decepcionei absurdamente com o Hotel. Sinceramente o pior hotel em que já estive ', neg

'Péssimo na minha opinião, quarto velho, o banheiro velho com no minímo cem anos, que simplesmente dava nojo',neg

'Pior hotel da minha vida!! Elevador nao funciona ',neg

'esse deve ser longe o pior da linha ',neg

'Chamar o quarto que me deram de classic é uma afronta. Uma verdadeira desonestidade ',neg

'Infelizmente, o pior hotel que já fiquei. Velho, com carpetes mofados e banheiros horríveis, Quando chegamos, havia uma grande mancha de mofo no lençol da cama ',neg

'Banheiro falta azulejos, e os azulejos que tem estao e cardidos. Quarto com cheiro de mofo e os lençóis sao velhos ',neg

'O hotel é um lixo. A única coisa boa é a localização. Os elevadores são velhos e perigosos ', neg

'Roupas de cama e toalhas encardidas e manchadas, pedi troca e vieram outras iguais.não se pode usar guarda roupas e gavetas porque estão mofados ',neg

'Quarto muito pequeno e com cheiro de mofo; chuveiro com cortina, sem blindex ',neg

'Estive em meados de abril no hotel e fiquei decepcionado com as condições do hotel, elevadores sem funcionar ',neg

'sem dúvida alguma, o pior hotel em que já fiquei hospedado. E o problema maior é que  foi vendido como padrão 4 estrelas ',neg

'O hotel encontra-se em condições precárias, embora o lobbye de entrada possa enganar a primeira vista ',neg

'Inacreditavel um Hotel da rede ser tão horrivel. Tudo nele é ruin, velho, mofado, imundo, os tres elevadores so o de serviço funcionava ',neg

'as acomodações são das piores com pisos de madeiras ocos por conta da ação de cupins, portas antigas e com maçanetas oxidadas, cortinas encardidas, camas que lhe dão coceira a partir do momento que se deita, Mas isso não é o pior, o gran finale é destinado ao banheiro que possui vasos sanitários aparentemente sujos e enferrujados ', neg

' o pior hotel que eu já me hospedei na vida! Não tem estacionamento, elevadores não funcionam, quarto cheirando mofo, piso e parede destruídos, mobiliário velho ',neg

'Hotel fede a mofo, o banheiro qdo voce banha enche de agua, muito ruim!!! ',neg

' é tudo muuuiiito velho, tem cheiro de mofo, o banheiro é velho, mas velho mesmo. A banheira é daquelas brancas, da época da nossa vó, toda descascada ',neg

'e levador em péssimas condições, porta do banheiro emperrada, não podia fechar, camas com colchoes horríveis, janelas emperradas, a torneira da banheira ',neg

'é horrivel quarto e banheiro extremamente velhos e mal cheirosos, encontrei barata em uma das noites, banheira toda descascada, azulejos sujos, chão manchado e cortina do box nojenta ',neg

' Infelizmente tive o desprazer de passar por vários transtornos no hotel, pois o mesmo possui acomodações em péssimas condições. Não se iludam a entrada foi reformada apenas para mascarar a situação do hotel que é velho demais, cheira mofo, os móveis são muito antigos ',neg

'O hotel está mal cuidado, os quartos têm odor de mofo (andei por dois, pois o primeiro estava alagado por conta de um vazamento no frigobar) e ouvi outro hóspede reclamando da tampa do aparelho sanitário quebrada ',neg

' A começar pelos elevadores: um caos! O quarto nem se fala, a maçaneta saiu em minha mão, os armários com as portas despencando e o banheiro sujo, com manchas no chão e uma banheira de dar nojo ',neg

'Quartos em muito mal estado de conservação, sujeira e desinteresse pelo conforto dos hospedes. ',neg

'banheiro com chão manchado, cortina wc imunda,motor infernal a noite inteira,moveis velhos,café ',neg

'piorou demais, O quarto era antigo, com móveis velhos, meio decadentes ', neg

'Hotel antigo, serviços caros e quartos defasados. TV com sinal errático. Muitos quartos estão com as varandas trancadas devido a uma reforma na fachada ',neg

'já era ruim, instalações decadentes com um serviço médio. Agora que mudou para Royal Tulip, piorou ',neg

'Trata-se do pior hotel que já estive em toda minha vida. Há uma penitenciaria nos arredores ',neg

'o hotel é lamentável, nunca tantos problemas aconteceram conosco em uma única estada. A começar pelo ar condicionado, que além de ser aqueles antigos (de janela) estava estragado ', neg

 'Os funcionários eram horríveis, Fiz uma reclamação que estava faltando lençol no meu quarto, a camareira subiu e só faltou dar em mim ',neg

'Pior hotel da minha vida, Chegamos no quarto estava tudo sujo, tinha até cigarros no vaso sanitário ',neg

'equipe mal qualificada ', neg

' em manutenção nenhuma, pessoal despreparado e alimentação bem básica ',neg

'você encontra o mal atendimento na recepção, funcionários despreparados e pior o sistema do hotel ',neg

'  quartos com ar condicionado quebrado e sem água quente ', neg

'Cheiro de mofo no quarto, de urina no banheiro. Espelho todo manchado, pintura do quarto estufada, tapete poído, móveis descascados ',neg

'Esse aqui nunca mais. O quarto é velho, a tv não funciona, internet esqueça ',neg

'Os quartos são velhos e cheiram a mofo, a coberta parecia da minha bisavó. O hotel é bem sinistro, os corredores são escuros e quando o quarto de cima dá descarga no banheiro ouve se o barulho ',neg

'Sujeira e mofo impregnando todo o apartamento. Tive nojo. Quase não dormi por conta das alergias ',neg

' Quarto e banheiros sujos, cabelos no chão, no box e nas toalhas, tudo muito empoeirado ',neg

'O atendimento na recepção foi o pior possível, grosseiro, sem educação, e isso foi o primeiro contato ',neg

' me decepcionei com o gerente quando fui lesado pelos recepcionistas ', neg

'Experiência horrível, Quando cheguei, havia quarto, mas não chaves suficientes ',neg

'vem a recepcao que eh um horror, muito mal educados e sem vontade nenhuma, depois tem a escada q cheira mofo, um cheiro insuportavel ',neg

'Por vezes temos a ingenuidade de pensarmos que as críticas que encontramos na internet não são, de fato, tão verdadeiras assim a ponto de impedir que curtamos os dias de hospedagem ',neg

'Pessimo atendimento e instalaçoes ',neg

'é simplesmente horrível. Todas as instalações são horríveis, velhas, quebradas ',neg

'O banheiro com lodo, parecia que havia semanas que não eram limpos ',neg

' indignado com a sujeira do hotel, mas principalmente com a arrogância e grosseria dos funcionários ',neg

'Este hotel é um total desrespeito ao hóspede e precisa melhorar muito para ficar ruim. O quarto e toda a infraestrutura do hotel são extremamente antigos ',neg

'Este foi o pior hotel no Rio que me hospedei. Mofo no banheiro, mobiliário velho, camas desconfortáveis, teto do banheiro com péssima aparência, frigobar sofrível ',neg

'o gerente é um grosso que ainda acha ruim quando alguém reclama ',neg

'tudo velho e abandonado, não é feita manutenção em nada neste hotel, fomos em três casais e em um dos quartos não tinha nem agua ',neg

'O Hotel está em péssimo estado ',neg

'Hotel velho, até ai tudo bem, já sabia e esperava, O que não imginava era um atendimento tão RUIM. Todos são mal encarados, rudes, não sabem o que é sorrir, ser simpaticos com os clientes ',neg

' quarto percebe que o mesmo possui instalações velhas e sem manutenção ',neg

'Simplesmente fuja desse hotel, Piores instalações que eu ja vi na vida, fora o preço exorbitante. É tudo nojento: quarto, banheiro, elevador, recepção, restaurante ',neg

'Achei o banheiro escuro e com aspecto de muito sujo. O box e a parede do banheiro são terríveis da nojo de tomar banho ',neg

'Pessimooo atendimento, Gerente um grosso, recepcionista um mal educado ',neg

'As pessoas da recepção são super grossas, não sabem conversar, criam caso com qualquer coisa ',neg

'O serviço é grosseiro sobretudo por parte do gerente, Te tratam como se fosse um vândalo em potencial, A lista de indelicadezas é muito extensa para este espaço ',neg

'Vergonhosas habitações, velho, com muitos ruídos, sujo, higiene zero, café da manhã simplório, paredes sujas, banheiro nojento, toalhas rasgadas, ar condicionado barulhento e ineficiente ',neg

'luz fraca: não consegui fazer minha barba direito - Sujo: tinha mofo na ducha, nos tetos ',neg

'Hotel desonesto, rude, que não assume os compromissos previamente pagos ',neg

'péssimo atendimento, péssimos quartos, péssimos funcionários, péssimo serviço de quarto, péssimo café da manhã, tudo velho, tudo horrível ',neg

'Nem pense em ficar neste hotel, Totalmente acabado, cimento do teto caido no chao do quarto, todo o quarto em péssimo estado ',neg

'Estado nojento do ar condicionado do quarto com mofo, maçaneta da porta do quarto quebrada e o pior de todos ',neg

'Esse hotel é horrível, Péssimo atendimento, péssima comida, as paredes parecem ser de papel pois se houve TUDO o que se falam nos outros apartamentos, Quarto velho com lençóis manchados e que mal cabem no colchão ',neg

'  O pior atendimento que tive até hoje no Brasil, Aconselho mesmo que não reservem nem estejam neste Hotel ',neg

'Atendimento péssimo, nenhuma consideração com o cliente, exigem pagamento adiantado, não prestam atendimento de qualidade prometido e não adianta solicitar saída antecipada, pois não retornam o valor pago ',neg

' Foi um pesadelo, O hotel está em péssimas condições e é muito mal administrado, A recepção é grosseira e se esquiva de tudo ', neg

'banheiro mofado,ralo quebrado,chuveiro desregulado,tv velha e sem som,vaso sanitario solto ',neg

'o ar parece um helicoptero, faz tanto barulho que você é obrigado a desligar pra poder ouvir a tv ou até mesmo para dormir. Os elevadores não tem a luz indicativa do andar, a piscina sem comentários, mas o pior dos serviços estão nos próprios funcionários ',neg

'Nunca vivi um pesadelo parecido. Ao chegar o cofre nao funcionou, a tv também nao. O ar condicionado faz tanta barulho que vc é obrigado a se fechar no banheiro, parece que vai decolar ',neg

'Fui mal atendido ao chegar, fui mal atendido durante a estadia ',neg

'O hotel é ruim no quesito limpeza e horrível no quesito segurança ',neg

'Ambiente não recomendado para pessoas que exigem o mínimo da limpeza ',neg

'Muito ruim,atendimento péssimo,os quartos são uma porcaria,com vazamento no banheiro que entra no quarto,maltratam pessoas ',neg

'Odiei esse hotel, péssimo custo benefício, super caro, instalações horríveis ',neg

'Hotel velho, com manutenção que deixa muito a desejar. Fiquei num quarto extremamente pequeno e apertado ',neg

'Quarto péssimo, antigo, móveis com cheiro de mofo, banheiro pequeno, sem secador de cabelos, roupas de cama e toalhas encardidas ',neg

' Piscina podre, suja, impraticavel ',neg

'Acomodações antigas, paredes apresentavam pintura descascada, lençóis amarelados, um dos dois elevadores em manutenção ',neg


'A equipe da recepção aqui foram o pior que já experimentei. Eles foram rudes, inúteis e desinteressada em quaisquer preocupações que tivemos ',neg

'O nosso quarto nunca foi limpa uma vez. A comida era horrível ',neg

'Instalações antigas, com barulho ',neg

'os quartos são iguaizinhos, bem antigos, com móveis velhos e pesados e o carpete bem desgastado ',neg

'O hotel é velho, fede mofo, a roupa de cama é simples ',neg

'Hotel super mal cuidado, estrutura velha, paredes com morfo, constante falta de luz, ar condicionado quebrado, zoada de motores nos quartos da frente ',neg


'A estrutura do hotel é péssima, o elevador fica travando, as paredes cheias de morfo, deixando muito a desejar ',neg


'O hotel vive sem luz, o que obriga a subir vários andares de escada para tomar café ou sair do hotel, sem contar que acaba por faltar água, sem o funcionamento da bomba de recalque ',neg

'hotel em si deixa muito a desejar. Paredes muito sujas, elevador quebrado ',neg


'O hotel possui uma infra-estrutura excelente, com área de lazer completa, os apartamentos são confortáveis e limpos, o restaurante no almo é a la carte, as porções são individuais e pequenas. A praia particular é muito limpa ', pos


'MARAVILHOOOOSOOOOOOOOOO Ambiente super aconchegante, recepção maravilhosa. Piscina, area verde, quartos super limpos e aconchegantes. Passei o feriado com meu namorado. Valeu apena demais, super indico! Assim que puder voltarei e me hospedarei novamente!', pos

'café da manhã é modesto. A distância das praias e da Rua das Pedras é grande para ser caminhada, inclusive por questões de segurança. Para se hospedar é melhor estar com veículo próprio.' ,pos

'Tivemos problema na reserva, havíamos reservado outro hotel da rede (Barra da Lagoa), mas no check-in, fomos informados que não haviam mais quartos disponíveis e fomos encaminhados para o Latitud, ficamos incomodados pois reservamos o Barra devido a localização (mais próximo a Rua das Pedras), e o Latitud fica mais distante em uma área mais erma. Mas por fim mesmo' ,pos

'Excelente custo beneficio,bem localizado,local tranquilo ,atendimento bom, limpeza chama a atenção impecavel, os quartos são bem confortaveis e amplos, local perfeito para quem viaja com família , ponto negativo é não ter garagem.' ,pos

'Fiquei com meu pai e foi tudo ótimo, café da manhã perfeito na medida, tudo muito limpo, tudo funcionava perfeitamente. Único ponto desfavorável é a entrada, pois não tem rampa é escada e até para passar com malas de rodinha não dá, por ser umas táboas separadas, o que dificulta passar com cadeiras de rodas ou carrinho de bebê.' ,pos

'Ficamos neste hotel em abril de 2013, o Hotel de ótimo bom gosto, super agradável e quartos limpos, onde nos hospedamos em dois homens em um quarto e trez homens em outro quarto e todos ficamos bem confortáveis. ' ,pos

'O quarto é bacana e funcional, o café da manhã é diversificado e a área da piscina é bem legal, apesar de pequena. Os funcionários são atenciosos e a relação custo beneficio é muito boa, além da proximidade com a rua das pedras ' ,pos

'Olhando pelo lado bom: Tem um preço razoavelmente bom se efetuada a reserva diretamente pelo site, com café da manhã pago à parte), é próximo da rua das pedras(500mts), tem um ótimo atendimento( funcionários solicitos,atenciosos e simpáticos), o café da manhã é farto, fresco e tem uma ótima variedade de pães e frutas. Olhando pelo lado ruim sugestões...', pos


'Gostei muito do hotel. Fomos bem recebidos e a limpeza do quarto foi impecável. O café da manhã é bem farto, mas quero apenas deixar registrado para que a gerência do hotel tome cuidados em relação ao armazenamento ou a padaria que fornece os pães pois encontrei um bichinho vivo dentro do pão folhado. Por sorte reparti o pão com Mais ',pos

'Hotel com boa localização com bom atendimento fica pertinho da rua das pedras, da para ir a pé sim pois 400m não desanima ninguém e é bom para a saúde, eles deveriam melhorar o café da manhã que não e incluso em alguns pacotes e as vezes só ficamos sabendo disso quando efetuamos a compra falta um pouco mais de ', pos

'Achei o hotel muito bom. Comprei numa promoção do hotel urbano. Ao contrário do que muitos disseram, na minha diária o café da manhã estava incluso e é muito bom, tem bastante variedade. É bem perto da rua das pedras, e o quarto é bem confortável. Depois de ler as criticas, fiquei um pouco receosa ao deixar a chave pra ', pos

'Localizado próximo ao centro, por uma breve caminhada ou em torno de 5 minutos de carro, este hotel oferece conforto e ambiente calmo para quem deseja desfrutar de calma e tranquilidade em um balneário famoso pela agitação. O hotel oferece café da manhã, que não está incluido na diária, mas pode ser pago a parte com valor que me pareceu...', pos

'Banheiros sujos, chuveiro que não funcionam, televisão só estava pegando TNT e Gloob, lençóis Imundos, café da manhã não incluso, um barulho a noite que fomos embora e ainda não conseguimos descobrir, muito diferente do que as fotos mostram. Para não dizer que só falei mal, toda a área externa é bem organizada e também uma boa localização. ', neg

'Café da manhã MUITO fraco. Quartos mal limpos. Banheiro com sinais de mofo nas paredes. A limpeza parece ser apenas passar pano no chão. Reservamos três quartos pela internet, recebemos o e-mail de confirmação mas quando chegamos havia apenas 2 quartos reservados para nós. A área comum é bonita e a piscina é boa, mas o bar está abandonado. Atendimento ', neg

'Bem só fui pois fiquei em outro hotel da rede e fui pessimamente atendido. Ganhei diárias neste hotel como forma de pedido de desculpas, mas ... Muito fraquinho. Café da manhã fraco, quarto sem mobília e sem conforto. Internet? Tentei pagar e não consegui acesso. Disse pagei mas não acessei. Lógico, não me cobraram. Muito ruim ', neg

'nunca fui tao mal recebido em um hotel , péssimo atendimento, funcionário arrogante,ligamos efetuamos a reserva via e-mail e telefone , quando chegamos nao tinha a reserva feita , pareciamos que estavamos pedindo favor para nos hospedar, total falta de profissionalismo, o quarto é bom tem ar,tv e o banho é sem pressao d agua ', neg

'Fiz a reserva na pousada paguei o valor integral e infelizmente aconteceu um imprevisto e não pude comparecer. solicitei com antecedente o cancelamento e me informaram que eu não terei o valor devolvido, que ficarei de crédito para uma outra estadia. Um absurdo o máximo que ele podem cobrar são 20% por taxas e só !!! Até hoje não recebi', neg

'Os funcionários são extremamente apáticos, nunca estão dispostos a atender, parecem estar sempre cansados, o quarto é extremamente pequeno e desconfortável, o café da manhã custa R$15 ao dia por pessoa, não tem serviço de bar, não servem nenhum outro tipo de refeição ou aperitivo nem pagando por fora, enfim, eu não recomendaria, pior ainda se for para hospedar a', neg

'Fiz uma reserva e só depois ví q n era reembolsável, até tudo ok, depois ví q n tinha café e me pareceu meio sem privacidade tb. Tive um problema e não pude ir, tentei altera a data da ida, mas eles foram irredutíveis, ate q autorizaram q eu trocasse minha ida de julho para setembro com acréscimo de 200', neg

'Eu e meu namorado não indicamos, o hotel não é ruim, porém está mal administrado. Olha que já rodamos o mundo, mais nunca haviam mexido nas nossas coisas como mexeram nesse hotel. Saímos para ir a praia e quando voltamos as nossas malas estavam todas reviradas, se tivéssemos deixado algo de caro no quarto, com certeza seríamos furtados. Fiquei abismada ', neg

'Fiz a reserva no outro hotel que eles tem próximo a rua das pedras com meu cartão inválido, porém avisei qdo fiz a reserva que chegaria la pras 3 da tarde pois meu voo chegaria ao Rio 13h e que o cartão não era válido e que pagaria em dinheiro, o atendente disse que tudo bem que anotaria, 2 dias Mais  ', neg

'Esta foi uma experiência realmente terrível. Viajei com a família jovem e não recomendo a todos. Isso não é realmente um hotel, mais a posada. O quarto, instalações e piscina foram deixada suja. Havia muitos insetos, sem mesa e cadeiras no quarto e muito poucos no gramado. Todos eram de plástico. Frigorífico não frio, lâmpadas partidas. Um membro da equipe ',neg

'Muito bem localizado, o hotel foi muito bem cuidado e continua parecendo novo, já estava precisando de um ibis em copacabana..execelente atendimento, quarto otimo, cafe da manha muito bom, pena que nao é incluso na diaria', pos

'Hotel novo, perto de tudo, atendimento impecável e preço justo. Com certeza o melhor custo benefício do RJ. Localizado logo atrás do Copacabana Palace, está a duas quadras da praia e a uma quadra do metrô, de onde pode-se conhecer vários lugares gastando pouco. Para corridas de táxi a localização torna as viagens baratas também.', pos

'Atendimento 100%, café da manhã muito bom e super completo, limpeza 100%, super educados, atenciosos, perto de tudo, ótima localização, almoço muito bom, tudo muito novo, valor acessível a classe media.', pos

'Muito bom o hotél, novíssimo, limpo. A cama muito confortável, o tamanho do banheiro bom em relação a outros hotéis na cidade. Todos os funcionários super simpáticos. Ótima localização, apenas duas quadra da praia de copacabana. O café da manhã embora não esteja incluído no valor da diária, é agradável, vale a pena pagar. Classificaria o este Ibis mas doque Mais  ', pos


'O novo IBIS COPACABANA é PERFEITO sob todos os aspectos e, sem dúvida, estabeleceu-se como a melhor relação custo-benefício da cidade, na sua categoria. Localização, serviço, limpeza, informações, café da manhã (não incluso, mas acessível e IMPERDÍVEL), tudo de excelência. Continuem assim. Muito obrigado! Ainda assim, por favor, não aumentem a diária: 329,00 aproximadamente 100 euros casal já é um ', pos













 



'Um hotel muito confortável, a duas quadras da praia, suites com cama queen, tv de lcd, wi-fi e todo o conforto para se passar ferias ou um fds. Recomendo pelo custo benefício pois a praia de Copacabana é uma das praias mais famosas do mundo ', pos

'Hotel excelente em todos os sentidos. Excelente localização, custo-benefício, hospedagem, segurança, atendimento e limpeza. Duas quadras da praia de Copacabana, atrás do Copacabana Palace. Não há nada que o desabone ', pos

'Hotel novíssimo. Atendimento e localização excelentes. Preço justo pela localização e qualidade do serviço. Muito próximo à praia de Copacabana e ao metrô. Caso volte ao RJ nesta área, certamente ficarei lá novamente.', pos

